,ssThresh,cWnd,segmentsAcked,segmentSize,bytesInFlight,caState,caEvent,loss
99,4294967295,37060,2,340,0,0,0,0
100,4294967295,37400,2,340,0,0,0,0
101,4294967295,37740,2,340,0,0,0,0
102,4294967295,38080,2,340,0,0,0,0
103,4294967295,38420,2,340,0,0,0,0
104,4294967295,38760,2,340,0,0,0,0
105,4294967295,39100,2,340,0,0,0,0
106,4294967295,39440,2,340,0,0,0,0
107,4294967295,39780,2,340,0,0,0,0
108,4294967295,40120,2,340,0,0,0,0
109,4294967295,40460,2,340,0,0,0,0
110,4294967295,40800,2,340,0,0,0,0
111,4294967295,41140,2,340,0,0,0,0
112,4294967295,41480,2,340,0,0,0,0
113,4294967295,41820,2,340,0,0,0,0
114,4294967295,42160,2,340,0,0,0,0
115,4294967295,42500,2,340,0,0,0,0
116,4294967295,42840,2,340,0,0,0,0
117,4294967295,43180,2,340,0,0,0,0
118,4294967295,43520,2,340,0,0,0,0
119,4294967295,43860,2,340,0,0,0,0
120,4294967295,44200,2,340,0,0,0,0
121,4294967295,44540,2,340,0,0,0,0
122,4294967295,44880,2,340,0,0,0,0
123,4294967295,45220,2,340,0,0,0,0
124,4294967295,45560,2,340,0,0,0,0
125,4294967295,45900,2,340,0,0,0,0
126,4294967295,46240,2,340,0,0,0,0
127,4294967295,46580,2,340,0,0,0,0
128,4294967295,46920,2,340,0,0,0,0
129,4294967295,47260,2,340,0,0,0,0
130,4294967295,47600,2,340,0,0,0,0
131,4294967295,47940,2,340,0,0,0,0
132,4294967295,48280,2,340,0,0,0,0
133,4294967295,48620,2,340,0,0,0,0
134,4294967295,48960,2,340,0,0,0,0
135,4294967295,49300,2,340,0,0,0,0
136,4294967295,49640,2,340,0,0,0,0
137,4294967295,49980,2,340,0,0,0,0
138,4294967295,50320,2,340,0,0,0,0
139,4294967295,50660,2,340,0,0,0,0
140,4294967295,51000,2,340,0,0,0,0
141,4294967295,51340,2,340,0,0,0,0
142,4294967295,51680,2,340,0,0,0,0
143,4294967295,52020,2,340,0,0,0,0
144,4294967295,52360,2,340,0,0,0,0
145,4294967295,52700,2,340,0,0,0,0
146,4294967295,53040,2,340,0,0,0,0
147,4294967295,53380,2,340,0,0,0,0
148,4294967295,53720,2,340,0,0,0,0
149,4294967295,54060,2,340,0,0,0,0
150,4294967295,54400,2,340,0,0,0,0
151,4294967295,54740,2,340,0,0,0,0
152,4294967295,55080,2,340,0,0,0,0
153,4294967295,55420,2,340,0,0,0,0
154,4294967295,55760,2,340,0,0,0,0
155,4294967295,56100,2,340,0,0,0,0
156,4294967295,56440,2,340,0,0,0,0
157,4294967295,56780,2,340,0,0,0,0
158,4294967295,57120,2,340,0,0,0,0
159,4294967295,57460,2,340,0,0,0,0
160,4294967295,57800,2,340,0,0,0,0
161,4294967295,58140,2,340,0,0,0,0
162,4294967295,58480,2,340,0,0,0,0
163,4294967295,58820,2,340,0,0,0,0
164,4294967295,59160,2,340,0,0,0,0
165,4294967295,59500,2,340,0,0,0,0
166,4294967295,59840,2,340,0,0,0,0
167,4294967295,60180,2,340,0,0,0,0
168,4294967295,60520,2,340,0,0,0,0
169,4294967295,60860,2,340,0,0,0,0
170,4294967295,61200,2,340,0,0,0,0
171,4294967295,61540,2,340,0,0,0,0
172,4294967295,61880,2,340,0,0,0,0
173,4294967295,62220,2,340,0,0,0,0
174,4294967295,62560,2,340,0,0,0,0
175,4294967295,62900,2,340,0,0,0,0
176,4294967295,63240,2,340,0,0,0,0
177,4294967295,63580,2,340,0,0,0,0
178,4294967295,63920,2,340,0,0,0,0
179,4294967295,64260,2,340,0,0,0,0
180,4294967295,64600,2,340,0,0,0,0
181,4294967295,64940,2,340,0,0,0,0
182,4294967295,65280,2,340,0,0,0,0
183,4294967295,65620,2,340,0,0,0,0
184,4294967295,65960,2,340,0,0,0,0
185,4294967295,66300,2,340,0,0,0,0
186,4294967295,66640,2,340,0,0,0,0
187,4294967295,66980,2,340,0,0,0,0
